Numero;Ligne;Date Cde;Rep. 01;S.Activ;Sec.Cde;Groupe;Cpt Client;Intitule;Référence;Code Artic;Compl Art;Delai SSAA;Delai Jour;Famille;Transport.;DP;PU Net;Exp.PU;Devise;Poids Cde;Quantité;Montant
75268;20;;5;MEC;6100;;;;;MDC62;;12/2017;20/03/2017;AFF;;44;69,59;;EUR;0;2;139,18
75268;30;;5;MEC;6100;;;;;AFFU;;12/2017;20/03/2017;AFF;;44;0;;EUR;0;1;0
75270;;17/03/2017;;;;;SIME;SIM'EDIT IMPRIMEUR;;;;;;;;;;;;;5;254,6
75271;10;17/03/2017;11;MEC;1100;;XTECH4;TECHFI Industries;CMD 14172;FABR;;12/2017;22/03/2017;FAB;;49;29,28;;EUR;0;3;87,84
75272;;17/03/2017;;;;;XTECH4;TECHFI Industries;;;;;;;;;;;;;3;87,84
75273;10;17/03/2017;7;MEC;6100;;BORL;BORLIS;;BORL/MOLETTE;;12/2017;21/03/2017;AFF;;49;8,76;;EUR;0;2;17,52
75274;;17/03/2017;;;;;BORL;BORLIS;;;;;;;;;;;;;2;17,52
75275;10;17/03/2017;19;MEC;1100;;XMEC8;MECATURN SAS;CMD 6606;XMEC8OOC-006185;;13/2017;27/03/2017;FAB;;85;182,22;;EUR;0;1;182,22
75276;;17/03/2017;;;;;XMEC8;MECATURN SAS;;;;;;;;;;;;;1;182,22
75277;10;17/03/2017;5;AFF;6100;;OUAF;OUEST AFFUTAGE;CMD 10224;OUAFOA09-0271;;12/2017;24/03/2017;AFF;;85;57,68;;EUR;0;15;865,2
75278;;17/03/2017;;;;;OUAF;OUEST AFFUTAGE;;;;;;;;;;;;;15;865,2
75279;10;17/03/2017;7;MEC;6100;;HALG;HALGAND SAS;CDE N° 2017/1235;HALG6663;;12/2017;24/03/2017;AFF;;44;21,14;;EUR;0;6;126,84
75280;20;;7;MEC;6100;;XMEC8;BORLIS;CDE N° 2017/1235;HALG6626;;12/2017;19/10/2017;AFF;;44;16,18;;EUR;0;4;64,72
75281;30;;7;MEC;6100;;XMEC8;MECATURN SAS;CDE N° 2017/1235;HALG7467;;12/2017;18/10/2017;AFF;;44;19,34;;EUR;0;2;38,68
75282;30;;7;MEC;6100;;OUAF;MECATURN SAS;CDE N° 2017/1235;HALG7467;;12/2017;24/10/2017;AFF;;44;19,34;;EUR;0;2;38,68
75283;30;;7;MEC;6100;;OUAF;OUEST AFFUTAGE;CDE N° 2017/1235;HALG7467;;12/2017;01/01/2018;AFF;;44;19,34;;EUR;0;2;38,68
