Numero;Ligne;Date Cde;Rep. 01;S.Activ;Sec.Cde;Groupe;Cpt Client;Intitule;Référence;Code Artic;Compl Art;Delai SSAA;Delai Jour;Famille;Transport.;DP;PU Net;Exp.PU;Devise;Poids Cde;Quantité;Montant
045036;070;17/04/2014;05;AFF;1100;;XOUAF;OUEST AFFUTAGE;6271;XOUAFOA10-0687;;52/2016;31/12/2016;FAB;;85;83,87;;EUR;0;7;587,09
45036;;17/04/2014;;;;;XOUAF;OUEST AFFUTAGE;;;;;;;;;;;;;7;587,09
061357;001;07/12/2015;05;MEC;1100;;XFAMA;F A M A T;CDE 1601CD621;XFAMA71068014;;52/2016;31/12/2016;FAB;;44;11,2;;EUR;0;80;896
61357;;07/12/2015;;;;;XFAMA;F A M A T;;;;;;;;;;;;;80;896
062021;011;06/01/2016;07;MEC;6100;;SDECC;SAUNIER DUVAL EAU C;N37/450369711/1610;LLA21;;52/2016;31/12/2016;ARC;;44;11,33;;EUR;0;9;101,97
62021;;06/01/2016;;;;;SDECC; SAUNIER DUVAL EAU C;;;;;;;;;;;;;9;101,97
062634;010;27/01/2016;07;MEC;1100;;XHALG;HALGAND SAS;PROTOTYPE;FABR;;22/2016;31/05/2016;FAB;;44;0;;EUR;0;1;0
62634;;27/01/2016;;;;;XHALG;HALGAND SAS;;;;;;;;;;;;;1;
064719;010;01/04/2016;05;MEC;6100;;FAMA;F A M A T;;CDE N°;;14/2016;08/04/2016;AFF;;44;0;;EUR;0;1;0
;040;;05;MEC;6100;;;;;CDE N°;;14/2016;08/04/2016;AFF;;44;0;;EUR;0;1;0
;080;;05;MEC;6100;;;;;FAMA71078012;;19/2016;13/05/2016;AFF;;44;0;;EUR;0;10;0
64719;;01/04/2016;;;;;FAMA;F A M A T;;;;;;;;;;;;;12;
065790;010;09/05/2016;11;MEC;1100;;XMMG;MEUNIER MECANIQUE GE;;FABR;;19/2016;09/05/2016;FAB;;79;149,16;;EUR;0;2;298,32
;020;;11;MEC;8520;;;;;ZZXJET;;19/2016;09/05/2016;JET;;79;15;;EUR;0;1;15
65790;;09/05/2016;;;;;XMMG;MEUNIER MECANIQUE GE;;;;;;;;;;;;;3;313,32
066280;010;24/05/2016;19;MIS;6100;;CERO;CERO;5/16/B;4FC25;;21/2016;24/05/2016;AFF;;85;22,15;;EUR;0;2;44,3
66280;;24/05/2016;;;;;CERO;CERO;;;;;;;;;;;;;2;44,3
066425;010;27/05/2016;05;AFF;6100;;OUAF;OUEST AFFUTAGE;100977/ECOD;4FC11;;23/2016;08/06/2016;AFF;;85;10,82;;EUR;0;1;10,82
66425;;27/05/2016;;;;;OUAF;OUEST AFFUTAGE;;;;;;;;;;;;;1;10,82
067432;010;27/06/2016;07;MEC;1100;;XMEC14;MECAMIGUE;;FABR;;26/2016;27/06/2016;FAB;;49;25;;EUR;0;1;25
67432;;27/06/2016;;;;;XMEC14;MECAMIGUE;;;;;;;;;;;;;1;25
067473;010;28/07/2016;01;DIV;1100;;XZS;SN ARMORMECA;PROTO;FABR;;33/2016;19/08/2016;FAB;;22;0;;EUR;0;1;0
67473;;28/07/2016;;;;;XZS;SN ARMORMECA;;;;;;;;;;;;;1;
067597;020;30/06/2016;05;AFF;1100;;XOUAF;OUEST AFFUTAGE;CDE CF009308;XOUAFOA16-1641;;28/2016;13/07/2016;FAB;;85;94,32;;EUR;0;5;471,6
67597;;30/06/2016;;;;;XOUAF;OUEST AFFUTAGE;;;;;;;;;;;;;5;471,6
067935;010;11/07/2016;07;MEC;6100;;MGP;M.G.P.;;LLC31;;32/2016;11/08/2016;ARC;;49;40,17;;EUR;0;1;40,17
67935;;11/07/2016;;;;;MGP;M.G.P.;;;;;;;;;;;;;1;40,17
068459;010;28/07/2016;01;DIV;6100;;ZR;RAUTURIER GUY;;PFA21;;35/2016;01/09/2016;AFF;;ZZ;7,64;;EUR;0;15;114,6
;020;;01;DIV;6100;;;;;PFC21;;35/2016;01/09/2016;AFF;;ZZ;13,91;;EUR;0;1;13,91
;030;;01;DIV;6100;;;;;LPA11;;35/2016;01/09/2016;AFF;;ZZ;5,67;;EUR;0;24;136,08
68459;;28/07/2016;;;;;ZR;RAUTURIER GUY;;;;;;;;;;;;;40;264,59
068589;010;05/08/2016;05;MEC;6100;;FAMA;F A M A T;CDE 1601 CD613;CDE N°;;32/2016;12/08/2016;AFF;;44;0;;EUR;0;1;0
;040;;05;MEC;6100;;;;CDE 1601 CD613;CDE N°;;32/2016;12/08/2016;AFF;;44;0;;EUR;0;1;0
68589;;05/08/2016;;;;;FAMA;F A M A T;;;;;;;;;;;;;2;
068771;010;26/08/2016;13;DIV;6100;;JODE;JOHN DEERE - UNITE D;;JODE/IM 20599;;35/2016;01/09/2016;AFF;;45;48;;EUR;0;6;288
;020;;13;DIV;6100;;;;;JODE/IM 20598;;35/2016;01/09/2016;AFF;;45;48;;EUR;0;6;288
;030;;13;DIV;6100;;;;;JODE/IM 20560;;35/2016;01/09/2016;AFF;;45;48;;EUR;0;2;96
;040;;13;DIV;6100;;;;;JODE/IM 20559;;35/2016;01/09/2016;AFF;;45;48;;EUR;0;2;96
;050;;13;DIV;6100;;;;;JODE/IM 20558;;35/2016;01/09/2016;AFF;;45;48;;EUR;0;2;96
;060;;13;DIV;6100;;;;;JODE/IM 20557;;35/2016;01/09/2016;AFF;;45;48;;EUR;0;2;96
;070;;13;DIV;6100;;;;;JODE/IM 20556;;35/2016;01/09/2016;AFF;;45;48;;EUR;0;2;96
;080;;13;DIV;6100;;;;;JODE/IM 20555;;35/2016;01/09/2016;AFF;;45;48;;EUR;0;2;96
;090;;13;DIV;8500;;;;;ZZPORT;;35/2016;01/09/2016;PORT;;45;39,5;;EUR;0;1;39,5
68771;;26/08/2016;;;;;JODE;JOHN DEERE - UNITE D;;;;;;;;;;;;;25;1191,5
068814;002;29/08/2016;19;MEC;1100;;XTMP;TELL MECANIQUE DE PR;MAIL DDE DE PRIX;FABR;;36/2016;07/09/2016;FAB;;49;73,33;;EUR;0;2;146,66
68814;;29/08/2016;;;;;XTMP;TELL MECANIQUE DE PR;;;;;;;;;;;;;2;146,66
069030;001;05/09/2016;01;DIV;1100;;XZQ;QUALI CITE;M LESLE;FABR;;36/2016;10/09/2016;FAB;;56;86,1;;EUR;0;5;430,5
;002;;01;DIV;1100;;;;M LESLE;FABR;;36/2016;10/09/2016;FAB;;56;83,91;;EUR;0;5;419,55
;003;;01;DIV;1100;;;;M LESLE;FABR;;36/2016;10/09/2016;FAB;;56;105,41;;EUR;0;5;527,05
69030;;05/09/2016;;;;;XZQ;QUALI CITE;;;;;;;;;;;;;15;1377,1
069036;001;05/09/2016;11;DIV;1100;;XZM;MK AUTOMOTIVE;M. CHAIGNEAU;FABR;;36/2016;08/09/2016;FAB;;72;78,83;;EUR;0;5;394,15
;002;;11;DIV;1100;;;;M. CHAIGNEAU;FABR;;36/2016;08/09/2016;FAB;;72;74,45;;EUR;0;10;744,5
;003;;11;DIV;1100;;;;M. CHAIGNEAU;FABR;;36/2016;08/09/2016;FAB;;72;72,99;;EUR;0;20;1459,8
69036;;05/09/2016;;;;;XZM;MK AUTOMOTIVE;;;;;;;;;;;;;35;2598,45
069096;090;06/09/2016;07;MEC;8500;;GKN;GKN DRIVELINE S.A.;1429;ZZJET;;36/2016;07/09/2016;JET;;72;55,5;;EUR;0;1;55,5
69096;;06/09/2016;;;;;GKN;GKN DRIVELINE S.A.;;;;;;;;;;;;;1;55,5
069653;010;22/09/2016;05;MEC;6100;;XFAMA;F A M A T;;CDE N°;;39/2016;30/09/2016;AFF;;44;0;;EUR;0;1;0
;020;;05;MEC;1100;;;;;XFAMA16261680;;39/2016;30/09/2016;FAB;;44;19,06;;EUR;0;5;95,3
69653;;22/09/2016;;;;;XFAMA;F A M A T;;;;;;;;;;;;;6;95,3
